,Litter,Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2,Vox_data
102,2c,l,NS,M,2,0,50,16.66666667,NA,NA,NA,NA,NA,25,NA,NA,
103,2c,l,ELS,F,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,16.66666667,NA,NA,
104,2c,l,ELS,F,2,0,66.66666667,0,NA,NA,NA,NA,NA,0,NA,NA,
105,2c,l,NS,F,2,0,16.66666667,0,NA,NA,NA,NA,NA,33.33333333,NA,NA,
106,2c,l,NS,F,2,0,33.33333333,16.66666667,NA,NA,NA,NA,NA,0,NA,NA,
107,2d,l,ELS,F,10,0,50,50,50,25,16.66666667,16.66666667,25,8.333333333,NA,NA,
108,2d,l,ELS,F,10,0,66.66666667,16.66666667,16.66666667,8.333333333,0,0,8.333333333,0,NA,NA,
109,,,,,,NA,NA,NA,,,,,,NA,NA,NA,
110,1,h,ELS,Male,2,8.333333333,66.66666667,33.33333333,,,,,,8.333333333,41.66666667,58.33333333,
111,1,h,ELS,Male,2,0,83.33333333,100,,,,,,41.66666667,25,NA,
112,1,h,NS,Male,2,0,50,41.66666667,,,,,,41.66666667,8.333333333,58.33333333,
113,1,h,NS,Male,2,0,83.33333333,50,,,,,,66.66666667,16.66666667,NA,
114,1,h,NS,Male,2,0,100,16.66666667,,,,,,25,41.66666667,16.66666667,
115,1,h,ELS,Male,10,0,100,66.66666667,58.33333333,33.33333333,0,8.333333333,41.66666667,41.66666667,8.333333333,10,
116,1,h,ELS,Male,10,0,83.33333333,25,33.33333333,41.66666667,50,16.66666667,25,16.66666667,8.333333333,20,
117,1,l,NS,Female,2,0,33.33333333,0,,,,,,8.333333333,0,0,
118,1,l,NS,Female,2,8.333333333,16.66666667,0,,,,,,0,0,0,
119,1,l,ELS,Male,2,0,83.33333333,58.33333333,,,,,,41.66666667,25,8.333333333,
120,1,l,ELS,Male,2,10,66.66666667,66.66666667,,,,,,50,41.66666667,0,
121,2,h,NS,Male,10,0,83.33333333,8.333333333,8.333333333,0,0,0,18.18181818,0,0,50,
122,2,h,NS,Male,10,0,83.33333333,16.66666667,16.66666667,33.33333333,16.66666667,41.66666667,9.090909091,0,0,50,
