"","Shock","Stress","Sex","Condition","ID","timepoint","percentage"
"166","h","ELS","Male","10","34","ext1_curve",50
"167","h","ELS","Male","10","34","ext2_curve",16.66666667
"168","h","ELS","Male","10","34","ext3_curve",41.66666667
"169","h","ELS","Male","10","34","ext4_curve",25
"170","h","ELS","Male","10","34","ext5_curve",25
"171","h","ELS","Male","10","35","ext1_curve",41.66666667
"172","h","ELS","Male","10","35","ext2_curve",58.33333333
"173","h","ELS","Male","10","35","ext3_curve",33.33333333
"174","h","ELS","Male","10","35","ext4_curve",25
"175","h","ELS","Male","10","35","ext5_curve",25
"176","h","ELS","Female","10","36","ext1_curve",69.23076923
"177","h","ELS","Female","10","36","ext2_curve",25
"178","h","ELS","Female","10","36","ext3_curve",8.333333333
"179","h","ELS","Female","10","36","ext4_curve",50
"180","h","ELS","Female","10","36","ext5_curve",41.66666667
"181","h","ELS","Female","10","37","ext1_curve",33.33333333
"182","h","ELS","Female","10","37","ext2_curve",16.66666667
"183","h","ELS","Female","10","37","ext3_curve",16.66666667
"184","h","ELS","Female","10","37","ext4_curve",8.333333333
"185","h","ELS","Female","10","37","ext5_curve",0
"186","h","ELS","Female","10","38","ext1_curve",41.66666667
"187","h","ELS","Female","10","38","ext2_curve",33.33333333
"188","h","ELS","Female","10","38","ext3_curve",58.33333333
"189","h","ELS","Female","10","38","ext4_curve",41.66666667
"190","h","ELS","Female","10","38","ext5_curve",83.33333333
"191","h","ELS","Female","10","39","ext1_curve",41.66666667
"192","h","ELS","Female","10","39","ext2_curve",41.66666667
"193","h","ELS","Female","10","39","ext3_curve",50
"194","h","ELS","Female","10","39","ext4_curve",8.333333333
"195","h","ELS","Female","10","39","ext5_curve",50
"196","h","NS","Male","10","40","ext1_curve",58.33333333
"197","h","NS","Male","10","40","ext2_curve",33.33333333
"198","h","NS","Male","10","40","ext3_curve",25
"199","h","NS","Male","10","40","ext4_curve",25
"200","h","NS","Male","10","40","ext5_curve",33.33333333
"201","h","NS","Male","10","41","ext1_curve",16.66666667
"202","h","NS","Male","10","41","ext2_curve",100
"203","h","NS","Male","10","41","ext3_curve",41.66666667
"204","h","NS","Male","10","41","ext4_curve",8.333333333
"205","h","NS","Male","10","41","ext5_curve",16.66666667
