"","Shock","Stress","Sex","Condition","Pre","Post","recall_1","ext1_curve","ext2_curve","ext3_curve","ext4_curve","ext5_curve","extinction_recall","reminder_day1_shock","reminder_day2"
"94","l","NS","Male","2",0,50,36.36363636,NA,NA,NA,NA,NA,8.333333333,33.33333333,25
"95","l","NS","Male","2",0,83.33333333,63.63636364,NA,NA,NA,NA,NA,8.333333333,25,16.66666667
"96","h","NS","Female","2",0,33.33333333,8.333333333,NA,NA,NA,NA,NA,27.27272727,8.333333333,0
"97","h","NS","Female","2",0,33.33333333,0,NA,NA,NA,NA,NA,18.18181818,0,0
"98","h","NS","Female","2",0,16.66666667,25,NA,NA,NA,NA,NA,0,0,0
"99","h","NS","Female","2",0,83.33333333,81.81818182,NA,NA,NA,NA,NA,33.33333333,33.33333333,18.18181818
"100","h","NS","Female","2",0,50,0,NA,NA,NA,NA,NA,8.333333333,0,9.090909091
"101","h","NS","Female","2",0,66.66666667,75,NA,NA,NA,NA,NA,16.66666667,16.66666667,8.333333333
"102","l","ELS","Male","2",0,50,0,NA,NA,NA,NA,NA,8.333333333,8.333333333,0
"103","l","ELS","Male","2",0,66.66666667,91.66666667,NA,NA,NA,NA,NA,58.33333333,41.66666667,50
"104","h","ELS","Female","2",8.333333333,100,91.66666667,NA,NA,NA,NA,NA,58.33333333,16.66666667,50
"105","h","ELS","Female","2",0,83.33333333,41.66666667,NA,NA,NA,NA,NA,25,16.66666667,0
"106","h","ELS","Female","2",0,66.66666667,58.33333333,NA,NA,NA,NA,NA,16.66666667,16.66666667,0
"107","h","ELS","Female","2",0,33.33333333,66.66666667,NA,NA,NA,NA,NA,16.66666667,0,25
"108","h","ELS","Female","2",0,66.66666667,100,NA,NA,NA,NA,NA,16.66666667,25,8.333333333
"109","h","ELS","Female","2",0,100,8.333333333,NA,NA,NA,NA,NA,0,41.66666667,25
"110","l","NS","Female","2",0,83.33333333,50,NA,NA,NA,NA,NA,75,23.07692308,0
"111","l","NS","Female","2",0,50,0,NA,NA,NA,NA,NA,16.66666667,15.38461538,0
"112","l","ELS","Male","2",0,83.33333333,8.333333333,NA,NA,NA,NA,NA,8.333333333,0,16.66666667
"113","l","ELS","Male","2",8.333333333,66.66666667,41.66666667,NA,NA,NA,NA,NA,16.66666667,30.76923077,25
"114","h","ELS","Male","2",15.38461538,66.66666667,69.23076923,NA,NA,NA,NA,NA,69.23076923,76.92307692,53.84615385
"115","h","ELS","Male","2",0,75,46.15384615,NA,NA,NA,NA,NA,69.23076923,7.692307692,23.07692308
"116","h","ELS","Male","2",0,33.33333333,76.92307692,NA,NA,NA,NA,NA,76.92307692,53.84615385,92.30769231
"117","h","ELS","Male","2",0,50,23.07692308,NA,NA,NA,NA,NA,38.46153846,15.38461538,0
"118","h","ELS","Male","2",30.76923077,83.33333333,53.84615385,NA,NA,NA,NA,NA,46.15384615,15.38461538,15.38461538
"119","h","ELS","Male","2",0,100,30.76923077,NA,NA,NA,NA,NA,23.07692308,23.07692308,0
"120","h","ELS","Female","2",0,50,15.38461538,NA,NA,NA,NA,NA,30.76923077,7.692307692,61.53846154
"121","h","ELS","Female","2",0,0,69.23076923,NA,NA,NA,NA,NA,7.692307692,0,0
"122","h","ELS","Female","2",8.333333333,83.33333333,75,NA,NA,NA,NA,NA,53.84615385,23.07692308,30.76923077
"123","h","ELS","Female","2",0,66.66666667,58.33333333,NA,NA,NA,NA,NA,15.38461538,0,0
"124","h","ELS","Female","2",0,100,61.53846154,NA,NA,NA,NA,NA,38.46153846,38.46153846,84.61538462
"125","h","ELS","Female","2",7.692307692,100,69.23076923,NA,NA,NA,NA,NA,38.46153846,30.76923077,7.692307692
"126","h","ELS","Female","2",0,83.33333333,0,NA,NA,NA,NA,NA,16.66666667,23.07692308,61.53846154
"127","h","ELS","Female","2",0,66.66666667,15.38461538,NA,NA,NA,NA,NA,8.333333333,7.692307692,0
"128","h","NS","Female","2",0,100,46.15384615,NA,NA,NA,NA,NA,38.46153846,38.46153846,30.76923077
"129","h","NS","Female","2",0,100,76.92307692,NA,NA,NA,NA,NA,84.61538462,15.38461538,0
"130","h","NS","Female","2",0,100,15.38461538,NA,NA,NA,NA,NA,53.84615385,15.38461538,NA
"131","h","NS","Female","2",0,33.33333333,76.92307692,NA,NA,NA,NA,NA,7.692307692,30.76923077,NA
"132","h","ELS","Female","2",7.692307692,83.33333333,50,NA,NA,NA,NA,NA,0,46.15384615,0
"133","h","ELS","Female","2",0,83.33333333,33.33333333,NA,NA,NA,NA,NA,7.692307692,46.15384615,23.07692308
"134","h","ELS","Female","2",0,100,41.66666667,NA,NA,NA,NA,NA,23.07692308,15.38461538,53.84615385
"135","h","ELS","Female","2",0,66.66666667,58.33333333,NA,NA,NA,NA,NA,30.76923077,15.38461538,53.84615385
"136","h","ELS","Female","2",7.692307692,83.33333333,25,NA,NA,NA,NA,NA,23.07692308,15.38461538,15.38461538
"137","h","NS","Male","2",0,100,25,NA,NA,NA,NA,NA,23.07692308,36.36363636,7.692307692
