Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
h,NS,Male,10,8.333333333,100,50,50,33.33333333,50,16.66666667,8.333333333,8.333333333,16.66666667,41.66666667
l,ELS,Female,10,0,100,58.33333333,58.33333333,66.66666667,25,25,16.66666667,41.66666667,50,25
l,ELS,Female,10,16.66666667,83.33333333,66.66666667,66.66667,41.66666667,58.33333333,25,8.333333333,16.66666667,41.66666667,16.66666667
h,ELS,Male,2,0,100,91.66666667,,,,,,83.33333333,58.33333333,66.66666667
h,ELS,Male,2,0,100,75,,,,,,33.33333333,25,41.66666667
h,NS,Male,2,8.333333333,66.66666667,41.66666667,,,,,,25,25,0
h,NS,Male,2,8.333333333,83.33333333,25,,,,,,8.333333333,0,9.090909091
l,ELS,Female,2,0,83.33333333,16.66666667,,,,,,8.333333333,8.333333333,18.18181818
l,ELS,Female,2,0,83.33333333,66.66666667,,,,,,8.333333333,8.333333333,18.18181818
l,NS,Male,10,0,66.66666667,8.333333333,8.333333333,66.66666667,16.66666667,8.333333333,0,25,41.66666667,41.66666667
l,NS,Male,10,0,50,0,0,0,0,0,0,8.333333333,0,0
l,NS,Male,10,0,100,33.33333333,33.33333333,58.33333333,25,8.333333333,16.66666667,0,8.333333333,33.33333333
h,ELS,Male,10,33.33333333,83.33333333,41.66666667,41.66666667,41.66666667,41.66666667,41.66666667,50,16.66666667,41.66666667,16.66666667
h,ELS,Male,10,0,100,100,100,91.66666667,58.33333333,41.66666667,50,58.33333333,66.66666667,33.33333333
h,NS,Female,10,0,66.66666667,25,25,16.66666667,16.66666667,16.66666667,16.66666667,8.333333333,0,0
h,NS,Female,10,0,83.33333333,8.333333333,8.333333333,0,8.333333333,0,0,0,0,0
h,ELS,Male,2,0,100,100,,,,,,91.66666667,75,58.33333333
h,ELS,Male,2,0,83.33333333,33.33333333,,,,,,41.66666667,41.66666667,33.33333333
l,ELS,Female,10,0,66.66666667,25,25,33.33333333,16.66666667,8.333333333,8.333333333,0,16.66666667,8.333333333
l,ELS,Female,10,0,100,33.33333333,33.33333333,0,0,8.333333333,0,0,8.333333333,0
l,NS,Female,10,0,33.33333333,0,0,0,0,0,0,0,33.33333333,0
l,NS,Female,10,0,66.66666667,0,0,0,8.333333333,25,0,0,0,8.333333333
l,ELS,Female,2,0,83.33333333,41.66666667,,,,,,0,16.66666667,16.66666667
l,ELS,Female,2,0,83.33333333,41.66666667,,,,,,8.333333333,0,0
h,NS,Male,2,0,100,83.33333333,,,,,,41.66666667,8.333333333,50
h,NS,Male,2,0,50,25,,,,,,33.33333333,25,0
h,NS,Male,2,0,66.66666667,41.66666667,,,,,,33.33333333,37.5,50
l,ELS,Female,2,0,16.66666667,0,,,,,,8.333333333,8.333333333,33.33333333
l,ELS,Female,2,0,83.33333333,0,,,,,,16.66666667,0,0
h,NS,Female,10,0,66.66666667,0,0,8.333333333,0,8.333333333,0,0,0,0
h,NS,Female,10,0,33.33333333,25,25,33.33333333,33.33333333,16.66666667,0,8.333333333,0,0
l,NS,Male,2,0,66.66666667,50,,,,,,33.33333333,41.66666667,50
l,NS,Male,2,0,100,100,,,,,,50,50,25
